"datetime","datetimeEpoch","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","dew","humidity","precip","precipprob","precipcover","snow","snowdepth","windgust","windspeed","winddir","pressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","sunrise","sunriseEpoch","sunset","sunsetEpoch","moonphase","conditions","description","icon","source","hours_datetime","hours_datetimeEpoch","hours_temp","hours_feelslike","hours_humidity","hours_dew","hours_precip","hours_precipprob","hours_snow","hours_snowdepth","hours_windgust","hours_windspeed","hours_winddir","hours_pressure","hours_visibility","hours_cloudcover","hours_solarradiation","hours_solarenergy","hours_uvindex","hours_severerisk","hours_conditions","hours_icon","hours_source","date"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","00:00:00",1750521600,82.3,93.8,94.31,80.5,0.02,100,0,0,8.5,0,0,1011,6.2,50,0,0,0,30,"Rain, Partially cloudy","rain","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","01:00:00",1750525200,82.3,93.8,94.31,80.5,0.043,100,0,0,8.7,0,0,1011,6.2,88,0,0,0,30,"Rain, Partially cloudy","rain","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","02:00:00",1750528800,82.3,93.8,94.31,80.5,0.075,100,0,0,6.7,5.8,250,1010,6.2,100,0,0,0,30,"Rain, Overcast","rain","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","03:00:00",1750532400,82.3,93.8,94.31,80.5,0,0,0,0,6.7,3.4,290,1010,5.6,100,0,0,0,30,"Overcast","cloudy","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","04:00:00",1750536000,76.9,76.9,94.19,75.1,0.024,100,0,0,5.4,4.7,30,1010,6.2,100,0,0,0,30,"Rain, Overcast","rain","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","05:00:00",1750539600,78.7,78.7,88.75,75.1,0.13,100,0,0,4.7,4.7,20,1010,6.2,100,0,0,0,10,"Rain, Overcast","rain","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","06:00:00",1750543200,78.7,78.7,94.23,76.9,0.071,100,0,0,5.6,2.2,5.2,1011,6.2,100,7,0,0,10,"Rain, Overcast","rain","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","07:00:00",1750546800,82.3,92.1,88.91,78.7,0.004,100,0,0,5.4,2.2,17.4,1011,6.2,100,86,0.3,1,30,"Rain, Overcast","rain","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","08:00:00",1750550400,82.3,92.1,88.91,78.7,0,0,0,0,3.4,2.2,15.5,1011,6.2,88,90,0.3,1,10,"Partially cloudy","partly-cloudy-day","obs","2025-06-22"
"2025-06-22",1750521600,86.6,76.9,82.4,94.2,76.9,89.4,75.8,81.1,0.697,100,66.67,0,0,8.7,6.7,268.6,1009.7,96.9,10.1,215.1,18.5,9,30,"05:28:04",1750541284,"18:27:34",1750588054,0.88,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","comb","09:00:00",1750554000,81.6,87.3,77.91,74,0,0,0,0,2.9,2.9,28.9,1011,15,100,383,1.4,4,10,"Overcast","cloudy","obs","2025-06-22"
